id,year,year_end,year_label,era,area_code,region,category,title,importance,summary
50,589,,589,中世,CHN,中国,POL,隋 中国再統一(文帝),4,
51,593,,593,中世,JPN,日本,POL,聖徳太子 摂政,3,
52,604,,604,中世,JPN,日本,POL,十七条憲法,3,
53,610,,610頃,中世,LEV,アラビア,REL,ムハンマド イスラム教成立,5,第三の一神教
54,618,,618,中世,CHN,中国,POL,唐 建国,5,東アジア文化圏の中心
55,622,,622,中世,LEV,アラビア,REL,ヒジュラ(聖遷),4,イスラム暦元年
56,630,,630,中世,CHN,日本,POL,第1回遣唐使,3,律令・仏教の摂取
57,645,,645,中世,JPN,日本,POL,大化の改新,4,中央集権化の出発
58,661,,661,中世,LEV,ダマスクス,POL,ウマイヤ朝成立,4,アラブ大征服・地中海〜中央アジア
59,710,,710,中世,JPN,日本,POL,平城京遷都(奈良時代),3,
60,750,,750,中世,MESO,バグダード,POL,アッバース朝成立,4,イスラム黄金時代
61,751,,751,中世,PER,中央アジア,TEC,タラス河畔の戦い,4,製紙法がイスラム世界へ西伝
62,794,,794,中世,JPN,日本,POL,平安京遷都(平安時代),3,
63,800,,800,中世,EUR_W,フランク,POL,カール大帝戴冠,4,西ヨーロッパ世界の成立
64,843,,843,中世,EUR_C,フランク,POL,ヴェルダン条約,3,独・仏・伊の原型
65,894,,894,中世,JPN,日本,CUL,遣唐使廃止(菅原道真),3,国風文化へ
66,907,,907,中世,CHN,中国,POL,唐滅亡 五代十国,3,
67,960,,960,中世,CHN,中国,POL,北宋建国,4,火薬・羅針盤・印刷の発展
68,962,,962,中世,EUR_C,ドイツ,POL,神聖ローマ帝国成立(オットー1世),4,
69,1054,,1054,中世,EUR_E,ヨーロッパ,REL,東西教会分裂,4,カトリックと正教
70,1066,,1066,中世,EUR_BR,イングランド,WAR,ノルマン・コンクェスト,3,
71,1077,,1077,中世,EUR_C,ヨーロッパ,REL,カノッサの屈辱,3,叙任権闘争・教皇権の優位
72,1096,1099,1096,中世,LEV,ヨーロッパ,WAR,第1回十字軍,4,東西交流とイスラムとの衝突
73,1127,,1127,中世,CHN,中国,POL,南宋成立(靖康の変),3,
74,1167,,1167,中世,JPN,日本,POL,平清盛 太政大臣,3,武家政権の萌芽
75,1185,,1185,中世,JPN,日本,POL,壇ノ浦の戦い 鎌倉幕府成立,4,源頼朝・武家政権の確立
76,1206,,1206,中世,WORLD,モンゴル,POL,チンギス・ハン モンゴル帝国成立,5,ユーラシア統合
77,1215,,1215,中世,EUR_BR,イングランド,POL,マグナ・カルタ,4,立憲主義の源流
78,1271,,1271,中世,CHN,中国,POL,元(フビライ・ハン)成立,4,
79,1274,1281,1274,中世,JPN,日本,WAR,元寇(文永・弘安の役),3,
80,1299,,1299,中世,ANAT,アナトリア,POL,オスマン帝国成立,5,
81,1336,,1336,中世,JPN,日本,POL,室町幕府成立(足利尊氏),3,
82,1339,1453,1339,中世,EUR_W,英仏,WAR,百年戦争,4,国民国家形成の契機
83,1347,,1347,中世,EUR_C,ヨーロッパ,CUL,ペスト(黒死病)大流行,5,欧州人口の激減・社会変容
84,1368,,1368,中世,CHN,中国,POL,明 建国(朱元璋),4,
85,1392,,1392,中世,KOR,朝鮮,POL,李氏朝鮮成立,3,
86,1405,1433,1405,中世,CHN,インド洋,ECO,鄭和 南海大遠征,3,
87,1429,,1429,中世,EUR_W,フランス,WAR,ジャンヌ・ダルク,3,
88,1453,,1453,中世,ANAT,東ローマ,POL,東ローマ帝国滅亡,5,コンスタンティノープル陥落・中世の終わり
89,1455,,1455頃,中世,EUR_C,ドイツ,TEC,グーテンベルク 活版印刷,5,知識の大衆化・宗教改革の前提
90,1467,1477,1467,中世,JPN,日本,WAR,応仁の乱,4,戦国時代へ
91,1492,,1492,中世,AMER_C,大西洋,CIV,コロンブス新大陸到達,5,大航海時代・世界の一体化
92,1498,,1498,中世,IND,インド洋,ECO,ヴァスコ・ダ・ガマ インド航路開拓,4,
93,1517,,1517,近世,EUR_C,ドイツ,REL,ルター 宗教改革,5,プロテスタントの誕生
94,1519,1522,1519,近世,WORLD,地球,CIV,マゼラン一行 世界周航,4,地球が球であることの実証
95,1521,,1521,近世,AMER_C,メキシコ,WAR,コルテス アステカ征服,3,
96,1526,,1526,近世,IND,インド,POL,ムガル帝国成立(バーブル),4,
97,1533,,1533,近世,AMER_C,ペルー,WAR,ピサロ インカ征服,3,
98,1543,,1543,近世,JPN,日本,TEC,鉄砲伝来(種子島),3,戦国の戦術革新
99,1543,,1543,近世,EUR_C,ヨーロッパ,THT,コペルニクス 地動説,4,科学革命の起点
100,1549,,1549,近世,JPN,日本,REL,ザビエル キリスト教伝来,3,
101,1571,,1571,近世,GRC,地中海,WAR,レパントの海戦,3,
102,1573,,1573,近世,JPN,日本,POL,室町幕府滅亡(織田信長),3,
103,1582,,1582,近世,JPN,日本,POL,本能寺の変,3,
104,1588,,1588,近世,EUR_BR,イングランド,WAR,アルマダ海戦,4,スペイン無敵艦隊の敗北・英国台頭
105,1590,,1590,近世,JPN,日本,POL,豊臣秀吉 天下統一,3,
106,1600,,1600,近世,JPN,日本,WAR,関ヶ原の戦い,4,
107,1600,,1600,近世,EUR_BR,イギリス,ECO,東インド会社設立,4,株式会社・植民地経営の原型
108,1603,,1603,近世,JPN,日本,POL,江戸幕府成立(徳川家康),4,260年の泰平
109,1618,1648,1618,近世,EUR_C,ヨーロッパ,WAR,三十年戦争,4,
110,1620,,1620,近世,AMER_N,北米,CIV,メイフラワー号,3,アメリカ植民の象徴
111,1636,,1636,近世,CHN,中国,POL,清 建国,4,
112,1640,,1640,近世,EUR_BR,イングランド,POL,ピューリタン革命,4,
113,1644,,1644,近世,CHN,中国,POL,明滅亡 清の中国支配,4,
114,1648,,1648,近世,EUR_C,ヨーロッパ,POL,ウェストファリア条約,5,主権国家体制の成立
115,1687,,1687,近世,EUR_BR,イギリス,THT,ニュートン プリンキピア,5,古典力学・近代科学の確立
116,1688,,1688,近世,EUR_BR,イギリス,POL,名誉革命,4,立憲君主制・権利章典(1689)
117,1716,,1716,近世,JPN,日本,POL,享保の改革(徳川吉宗),2,
118,1757,,1757,近世,IND,インド,WAR,プラッシーの戦い,4,イギリスのインド支配へ
119,1762,,1762,近世,EUR_W,フランス,THT,ルソー 社会契約論,4,人民主権・革命思想
120,1769,,1769,近世,EUR_BR,イギリス,TEC,ワット 蒸気機関,5,産業革命の動力
121,1776,,1776,近世,AMER_N,アメリカ,POL,アメリカ独立宣言,5,近代国民国家・人権思想
122,1789,,1789,近代,EUR_W,フランス,POL,フランス革命 人権宣言,5,近代市民社会の起点
123,1804,,1804,近代,EUR_W,フランス,POL,ナポレオン 皇帝即位,4,革命理念の欧州拡散
124,1814,1815,1814,近代,EUR_C,ヨーロッパ,POL,ウィーン会議,4,ウィーン体制・勢力均衡
125,1840,1842,1840,近代,CHN,中国,WAR,アヘン戦争,5,東アジアの開国・半植民地化
126,1848,,1848,近代,EUR_C,ヨーロッパ,POL,二月革命・諸国民の春,4,共産党宣言(マルクス)
127,1851,1864,1851,近代,CHN,中国,WAR,太平天国の乱,3,
128,1853,,1853,近代,JPN,日本,POL,ペリー来航,4,鎖国の終わり
129,1857,,1857,近代,IND,インド,WAR,インド大反乱(セポイの乱),3,
130,1858,,1858,近代,IND,インド,POL,ムガル帝国滅亡 英のインド直轄,4,
131,1859,,1859,近代,EUR_BR,イギリス,THT,ダーウィン 種の起源,4,進化論
132,1861,1865,1861,近代,AMER_N,アメリカ,WAR,南北戦争,4,奴隷解放・国家統合
133,1867,,1867,近代,JPN,日本,POL,大政奉還,5,江戸幕府の終焉・明治維新へ
134,1894,1895,1894,近代,JPN,東アジア,WAR,日清戦争,4,
135,1903,,1903,近代,JPN,日本,THT,人生地理学(牧口常三郎),2,
136,1904,1905,1904,近代,JPN,東アジア,WAR,日露戦争,4,非欧米国の勝利・世界に衝撃
137,1914,1918,1914,近代,WORLD,世界,WAR,第一次世界大戦,5,総力戦・帝国の崩壊
138,1929,,1929,近代,AMER_N,アメリカ,ECO,世界恐慌,5,10/24 ブラックサーズデー
139,1931,,1931,近代,CHN,中国,WAR,満州事変,4,
140,1933,,1933,近代,AMER_N,アメリカ,ECO,ニューディール政策,4,修正資本主義
141,1937,1945,1937,近代,CHN,東アジア,WAR,日中戦争,4,
142,1939,1945,1939,近代,WORLD,世界,WAR,第二次世界大戦勃発,5,
143,1941,,1941,近代,JPN,太平洋,WAR,パールハーバー,4,太平洋戦争開戦
144,1945,,1945,現代,WORLD,世界,WAR,第二次世界大戦終結,5,核時代・冷戦構造へ
145,1946,1954,1946,現代,SEA,インドシナ,WAR,第一次インドシナ戦争,3,対フランス独立戦争
146,1949,,1949,現代,CHN,中国,POL,中華人民共和国成立,5,毛沢東／台湾に中華民国(蒋介石)
147,1950,1953,1950,現代,KOR,朝鮮,WAR,朝鮮戦争,4,冷戦の熱戦化・南北分断固定
148,1951,,1951,現代,JPN,日本,POL,サンフランシスコ平和条約,4,吉田茂・主権回復
149,1952,,1952,現代,JPN,日本,POL,(旧)日米安全保障条約,3,
150,1952,,1952,現代,EUR_W,ヨーロッパ,POL,ECSC(欧州石炭鉄鋼共同体),3,EU統合の出発点
151,1958,,1958,現代,EUR_W,ヨーロッパ,POL,EEC・EURATOM発足,3,
152,1960,,1960,現代,JPN,日本,POL,新安保条約・日米地位協定,3,
153,1960,1975,1960,現代,SEA,ベトナム,WAR,第二次インドシナ戦争(ベトナム戦争),4,解放戦線結成→米軍介入(65)→終結(75)
154,1962,,1962,現代,WORLD,世界,POL,中ソ対立の表面化,3,
155,1966,1976,1966,現代,CHN,中国,POL,文化大革命,4,
156,1967,,1967,現代,EUR_W,ヨーロッパ,POL,EC(欧州共同体)発足,3,
157,1972,,1972,現代,JPN,東アジア,POL,日中国交正常化,4,
158,1976,,1976,現代,SEA,ベトナム,POL,ベトナム社会主義共和国成立,3,
159,1985,,1985,現代,EUR_E,ソ連,POL,ペレストロイカ・グラスノスチ,4,ゴルバチョフ改革
160,1986,,1986,現代,EUR_E,ソ連,TEC,チェルノブイリ原発事故,4,原典1985を1986に修正
161,1987,,1987,現代,AMER_N,アメリカ,ECO,ブラックマンデー,3,10/19 世界同時株安
162,1989,,1989,現代,CHN,中国,POL,天安門事件,4,
163,1989,,1989,現代,EUR_C,ドイツ,POL,ベルリンの壁崩壊,5,冷戦終結の象徴
164,1990,,1990,現代,EUR_E,ソ連,POL,ソ連 大統領制採用,3,
165,1991,,1991,現代,EUR_E,ソ連,POL,ソ連崩壊,5,冷戦の最終的終結
166,1997,,1997,現代,CHN,香港,POL,香港返還,3,
167,1999,,1999,現代,AMER_N,アメリカ,ECO,ドットコムバブル,3,
168,2001,,2001,現代,AMER_N,アメリカ,ECO,ドットコムバブル崩壊,3,
169,2001,,2001,現代,AMER_N,アメリカ,WAR,9.11 同時多発テロ,5,対テロ戦争の時代へ(追加提案)
170,2008,,2008,現代,AMER_N,アメリカ,ECO,リーマンショック,5,世界金融危機
171,2017,,2017,現代,AMER_N,アメリカ,POL,第一次トランプ政権,3,
172,2020,,2020,現代,WORLD,世界,CUL,コロナショック / Brexit,4,
